,id,age,gender,race,region,tv_show,frequency,to_eat_1,to_eat_2,to_eat_3,to_eat_4,to_eat_5,at_home_1,at_home_2,at_home_3,at_restaurant_1,at_restaurant_2,at_restaurant_3,cook_prep_1,cook_prep_2,cook_prep_3,fruits_1,fruits_2,fruits_3
60,61,40-49,1,"CAUCASIAN, NON-HISPANIC;NATIVE AMERICAN;",MID-ATLANTIC,NONE,DAILY 6-7 WEEK ,CABBAGE,LETTUCE (ANY KIND),CAULIFLOWER,CARROTS,SQUASH,CABBAGE,CARROTS,LETTUCE (ANY KIND),LETTUCE (ANY KIND),BROCCOLI,SQUASH,BAKED,SAUTEED,RAW,CHERRIES,BANANAS,PEACHES
61,62,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE SIMPSONS,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,GREEN BEANS,BROCCOLI,CAULIFLOWER,GREEN BEANS,BRUSSELS SPROUTS,,NONE,FRIED/AIR-FRIED,SAUTEED,GRILLED,MANGOS,STRAWBERRIES,WATERMELON
62,63,40-49,1,"CAUCASIAN, LATINO/HISPANIC;CAUCASIAN, NON-HISPANIC;",MIDWEST,SUPERNATURAL,2-3/WEEK,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,CORN,,GREEN BEANS,,NONE,LETTUCE (ANY KIND),,NONE,STEAMED,,NONE,BANANAS,TOMATOES,GRAPES
63,64,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,FRIENDS ,DAILY 6-7 WEEK ,GREEN BEANS,LETTUCE (ANY KIND),CUCUMBERS,,NONE,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,GREEN BEANS,LETTUCE (ANY KIND),ASPARAGUS ,STEAMED,,NONE,APPLES,WATERMELON,GRAPES
64,65,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,JANE THE VIRGIN ,2-3/WEEK,CARROTS,BROCCOLI,CORN,GREEN BEANS,PEAS,BROCCOLI,CARROTS,SPINACH,BROCCOLI,,NONE,STEAMED,,NONE,STRAWBERRIES,APPLES,ORANGES
65,66,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,DATELINE,2-3/WEEK,CARROTS,CORN,LETTUCE (ANY KIND),,NONE,LETTUCE (ANY KIND),CARROTS,CORN,LETTUCE (ANY KIND),CORN,CARROTS,FRIED/AIR-FRIED,,NONE,STRAWBERRIES,PINEAPPLE,PEACHES
66,67,20-29,1,"CAUCASIAN, NON-HISPANIC;",SOUTHWEST,STRANGER THINGS,4-5/WEEK,GREEN BEANS,SQUASH,BROCCOLI,LETTUCE (ANY KIND),SPINACH,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),ASPARAGUS ,GREEN BEANS,BROCCOLI,SAUTEED,,NONE,BERRIES,GRAPES,ORANGES
67,68,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SEINFELD,4-5/WEEK,BROCCOLI,CAULIFLOWER,CORN,GREEN BEANS,,BROCCOLI,CAULIFLOWER,GREEN BEANS,SPINACH,GREEN BEANS,BROCCOLI,BOILED,MICROWAVED,,MANGOS,ORANGES,BANANAS
68,69,20-29,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE SOPRANOS,4-5/WEEK,BROCCOLI,CAULIFLOWER,CORN,CARROTS,SPINACH,BROCCOLI,CAULIFLOWER,SPINACH,GREEN BEANS,PEAS,CORN,SAUTEED,BAKED,FRIED/AIR-FRIED,APPLES,GRAPES,OTHER
69,70,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,I DON'T HAVE ONE ,DAILY 6-7 WEEK ,BROCCOLI,SPINACH,SQUASH,BEETS,CAULIFLOWER,EGGPLANT,SQUASH,BROCCOLI,EGGPLANT,SPINACH,SQUASH,BAKED,,NONE,PEACHES,MANGOS,BLACKBERRIES
70,71,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,HANDMAIDS TALE,4-5/WEEK,BROCCOLI,CARROTS,LETTUCE (ANY KIND),RADISH,,LETTUCE (ANY KIND),CARROTS,BROCCOLI,CARROTS,BROCCOLI,LETTUCE (ANY KIND),BAKED,,NONE,APPLES,BANANAS,STRAWBERRIES
71,72,50-65,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,THE CHASE,DAILY 6-7 WEEK ,CARROTS,LETTUCE (ANY KIND),SPINACH,GREEN BEANS,CORN,LETTUCE (ANY KIND),SPINACH,CARROTS,LETTUCE (ANY KIND),BROCCOLI,ASPARAGUS ,FRIED/AIR-FRIED,GRILLED,SAUTEED,ORANGES,APPLES,BANANAS
72,73,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SHERLOCK,2-3/WEEK,BROCCOLI,GREEN BEANS,SPINACH,CORN,BRUSSELS SPROUTS,BROCCOLI,CARROTS,CORN,SPINACH,BROCCOLI,CARROTS,BAKED,,NONE,BANANAS,RASPBERRIES,APPLES
73,74,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CALL THE MIDWIFE,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),SQUASH,ASPARAGUS,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),BAKED,BOILED,GRILLED,STRAWBERRIES,BLUEBERRIES,APPLES
74,75,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,WHAT WE DO IN THE SHADOWS ,DAILY 6-7 WEEK ,BROCCOLI,CORN,LETTUCE (ANY KIND),ONIONS,TOMATOES,BROCCOLI,CARROTS,TOMATOES ,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),BAKED,FRIED/AIR-FRIED,GRILLED,CHERRIES,RASPBERRIES,STRAWBERRIES
75,76,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OFFICE,4-5/WEEK,BROCCOLI,CARROTS,CORN,PEAS,LETTUCE (ANY KIND),CARROTS,,NONE,ASPARAGUS ,,NONE,GRILLED,,NONE,BANANAS,APPLES,STRAWBERRIES
76,77,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,GREYS ANATOMY,DAILY 6-7 WEEK ,BROCCOLI,LETTUCE (ANY KIND),SPINACH,CARROTS,,BROCCOLI,,NONE,BRUSSELS SPROUTS,,NONE,BAKED,,NONE,STRAWBERRIES,BLUEBERRIES,ORANGES
77,78,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,GHOST,DAILY 6-7 WEEK ,SPINACH,BROCCOLI,CARROTS,CAULIFLOWER,SQUASH,BROCCOLI,GREEN BEANS,SPINACH,BROCCOLI,SPINACH,LETTUCE (ANY KIND),MICROWAVED,STEAMED,GRILLED,GRAPES,APPLES,BANANAS
78,79,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SPY X FAMILY,"RARELY (ONLY IF SOMEONE MAKES ME; HOLIDAYS ONLY, ETC.)",CARROTS,CORN,GREEN BEANS,SPINACH,PEAS,SPINACH,CARROTS,CORN,SPINACH,CARROTS,CORN,GRILLED,SAUTEED,,ORANGES,STRAWBERRIES,BLUEBERRIES
79,80,30-39,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OWL HOUSE,"RARELY (ONLY IF SOMEONE MAKES ME; HOLIDAYS ONLY, ETC.)",SPINACH,CARROTS,CORN,LETTUCE (ANY KIND),PEAS,CARROTS,SPINACH,PEAS,SPINACH,LETTUCE (ANY KIND),CARROTS,BOILED,FRIED/AIR-FRIED,SAUTEED,APPLES,ORANGES,GRAPES
80,81,OVER 65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CHICAGO FIRE,DAILY 6-7 WEEK ,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),CORN,ASPARAGUS,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),BROCCOLI,GREEN BEANS,CARROTS,BAKED,GRILLED,SAUTEED,APPLES,BLUEBERRIES,BANANAS
81,82,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,EVERYBODY LOVES RAYMOND,DAILY 6-7 WEEK ,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,CARROTS,BROCCOLI,CARROTS,LETTUCE (ANY KIND),CAULIFLOWER,LETTUCE (ANY KIND),ASPARGUS,,ROASTED,STEAMED,BAKED,APPLES,GRAPES,BANANAS
82,83,20-29,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE GOOD PLACE,4-5/WEEK,BROCCOLI,CARROTS,GREEN BEANS,PEAS,SPINACH,PEAS,GREEN BEANS,BROCCOLI,BROCCOLI,GREEN BEANS,,SAUTEED,STEAMED,MICROWAVED,BLACKBERRIES,RASPBERRIES,KIWI
83,84,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NCIS,2-3/WEEK,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),,NONE,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),BROCCOLI,CORN,GREEN BEANS,MICROWAVED,,NONE,APPLES,ORANGES,GRAPES
84,85,20-29,1,"CAUCASIAN, NON-HISPANIC;",SOUTHWEST,THIS IS US,DAILY 6-7 WEEK ,BROCCOLI,BRUSSELS SPROUTS,CARROTS,CORN,SQUASH,BROCCOLI,CAULIFLOWER,CORN,BROCCOLI,SQUASH,BRUSSEL SPROUTS,BAKED,SAUTEED,STEAMED,APPLES,BLUEBERRIES,CHERRIES
85,86,40-49,0,ASIAN;,MIDWEST,TED LASSO,4-5/WEEK,CARROTS,PEAS,SPINACH,CAULIFLOWER,BROCCOLI,SPINACH,CAULIFLOWER,BROCCOLI,BROCCOLI,CAULIFLOWER,SPINACH,BAKED,MICROWAVED,GRILLED,GRAPES,BANANAS,APPLES
86,87,40-49,0,"CAUCASIAN, NON-HISPANIC;",SOUTHWEST,THURSDAY NIGHT BASEBALL,4-5/WEEK,BROCCOLI,CARROTS,CORN,SPINACH,PEAS,BROCCOLI,CARROTS,CORN,BROCCOLI,CARROTS,,STEAMED,RAW,,APPLES,BANANAS,BLUEBERRIES
87,88,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE OFFICE,2-3/WEEK,SPINACH,LETTUCE (ANY KIND),BROCCOLI,CARROTS,CORN,CARROTS,CORN,BROCCOLI,BROCCOLI,CORN,SPINACH,BAKED,,NONE,STRAWBERRIES,BLUEBERRIES,KIWI
88,89,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,JEOPARDY ,2-3/WEEK,BROCCOLI,LETTUCE (ANY KIND),,NONE,NONE,BROCCOLI,CARROTS,LETTUCE (ANY KIND),GREEN BEANS,LETTUCE (ANY KIND),CAULIFLOWER,BOILED,GRILLED,SAUTEED,BANANAS,STRAWBERRIES,NONE
89,90,30-39,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,ARRESTED DEVELOPMENT,DAILY 6-7 WEEK ,CORN,BROCCOLI,CARROTS,RADISH,GREEN BEANS,CORN,BROCCOLI,ASPARAGUS,GREEN BEANS,CORN,BROCCOLI,BAKED,RAW,,BANANAS,ORANGES,BLUEBERRIES
90,91,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,BELOW DECK,DAILY 6-7 WEEK ,CARROTS,GREEN BEANS,LETTUCE (ANY KIND),ASPARAGUS,BRUSSELS SPROUTS,CORN,GREEN BEANS,LETTUCE (ANY KIND),GREEN BEANS,ASPARAGUS AND BRUSSEL SPROUTS ,,GRILLED,BAKED,FRIED/AIR-FRIED,APPLES,STRAWBERRIES,PINEAPPLE
91,92,50-65,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,THE NEWS,2-3/WEEK,CORN,GREEN BEANS,BROCCOLI,SPINACH,COLLARD GREENS,CORN,GREEN BEANS,BROCCOLI,BRUSSEL SPROUTS ,CORN,GREEN BEANS,BOILED,SAUTEED,GRILLED,PINEAPPLE,MANGOS,GRAPES
92,93,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE OFFICE,4-5/WEEK,BROCCOLI,CARROTS,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,BROCCOLI,CARROTS,CAULIFLOWER,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),FRIED/AIR-FRIED,GRILLED,BAKED,APPLES,GRAPES,STRAWBERRIES
93,94,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,JEOPARDY ,4-5/WEEK,BROCCOLI,CARROTS,CAULIFLOWER,CORN,GREEN BEANS,GREEN BEANS,CARROTS,PEAS,BROCCOLI,CORN,LETTUCE (ANY KIND),STEAMED,,NONE,BLUEBERIES,PEACHES,BANANAS
94,95,20-29,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SCHITT’S CREEK,2-3/WEEK,LETTUCE (ANY KIND),CARROTS,BROCCOLI,CORN,ASPARAGUS,CARROTS,BROCCOLI,CAULIFLOWER,GREEN BEANS,ASPARAGUS,LETTUCE (ANY KIND),GRILLED,SAUTEED,BAKED,BLUEBERRIES,MANGOS,KIWI
95,96,40-49,0,"CAUCASIAN, NON-HISPANIC;",UK,THE WEST WING,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,LETTUCE (ANY KIND),BELL PEPPERS,ONIONS ,CARROTS,BELL PEPPER AND ONION,,BROCCOLI,LETTUCE (ANY KIND),CARROTS,RAW,GRILLED,,MANGOS,PINEAPPLE,BANANAS
96,97,40-49,1,"CAUCASIAN, NON-HISPANIC;",SOUTHWEST,OZARK,4-5/WEEK,GREEN BEANS,CAULIFLOWER,CARROTS,SQUASH,,GREEN BEANS,CARROTS,BROCCOLI,GREEN BEANS,CARROTS,ASPARAGUS ,GRILLED,,NONE,MANGOS,GRAPES,BANANAS
97,98,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SCHITT’S CREEK,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,LETTUCE (ANY KIND),GREEN BEANS,BRUSSELS SPROUTS,CARROTS,BROCCOLI,CUCUMBER ,LETTUCE (ANY KIND),GREEN BEANS,BROCCOLI,GRILLED,,NONE,MANGOS,BANANAS,WATERMELON
98,99,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE OFFICE,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,GREEN BEANS,SPINACH,SQUASH,BROCCOLI,GREEN BEANS,CARROTS,SQUASH,SPINACH,BROCCOLI,BAKED,STEAMED,MICROWAVED,BANANAS,STRAWBERRIES,APPLES
99,100,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CARIBBEAN LIFE,2-3/WEEK,LETTUCE (ANY KIND),GREEN BEANS,CORN,BROCCOLI,BAKED BEANS,LETTUCE (ANY KIND),GREEN BEANS,BAKED BEANS,BROCCOLI,LETTUCE (ANY KIND),CAULIFLOWER,SAUTEED,STEAMED,MICROWAVED,ORANGES,APPLES,BANANAS
100,101,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,HEARTLAND ,DAILY 6-7 WEEK ,SPINACH,LETTUCE (ANY KIND),CAULIFLOWER,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,CAULIFLOWER,LETTUCE (ANY KIND),ASPARAGUS ,SPINACH,SAUTEED,RAW,,APPLES,GRAPES,MELON
101,102,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,EUPHORIA,2-3/WEEK,BROCCOLI,CAULIFLOWER,CORN,LETTUCE (ANY KIND),SQUASH,BROCCOLI,,NONE,CAULIFLOWER,BROCCOLI,BRUSSEL SPROUTS,STEAMED,,NONE,BANANAS,NONE,NONE
102,103,50-65,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,GREY'S ANATOMY,4-5/WEEK,BROCCOLI,CARROTS,CORN,CAULIFLOWER,GREEN BEANS,BROCCOLI,SPINACH,LETTUCE (ANY KIND),BROCCOLI,SPINACH,LETTUCE (ANY KIND),BOILED,SAUTEED,STEAMED,APPLES,NONE,NONE
103,104,50-65,1,ASIAN;,MIDWEST,FUTURAMA,4-5/WEEK,CARROTS,GREEN BEANS,PEAS,SPINACH,SQUASH,CARROTS,GREEN BEANS,PEAS,ASPARAGUS ,SPINACH,BROCCOLI,ROASTED,,NONE,STRAWBERRIES,MANGOS,PEACHES
104,105,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,LAW AND ORDER SVU,2-3/WEEK,CAULIFLOWER,GREEN BEANS,CARROTS,PEAS,BRUSSELS SPROUTS,GREEN BEANS,CAULIFLOWER,BRUSSELS SPROUTS,"ASPARAGUS, BRUSSELS SPROUTS ",CAULIFLOWER,,FRIED/AIR-FRIED,GRILLED,SAUTEED,BLUEBERRIES,APPLES,STRAWBERRIES
105,106,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CASTLE ,4-5/WEEK,CAULIFLOWER,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,PEAS,CARROTS,CAULIFLOWER,GREEN BEANS,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,GRILLED,BOILED,,BANANAS,BLACKBERRIES,RASPBERRIES
106,107,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,STARGATE,4-5/WEEK,BROCCOLI,CARROTS,GREEN BEANS,PEAS,SPINACH,BROCCOLI,CARROTS,GREEN BEANS,CARROTS,CORN,SPINACH,BAKED,SAUTEED,STEAMED,GRAPEFRUIT,APPLES,GRAPES
107,108,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THIS IS US,4-5/WEEK,BROCCOLI,CAULIFLOWER,PEAS,BELL PEPPERS,CORN,BROCCOLI,CAULIFLOWER,BRUSSEL SPROUTS,BROCCOLI,CAULIFLOWER,POTATO ,GRILLED,STEAMED,,STRAWBERRIES,BANANAS,APPLES
108,109,20-29,1,ASIAN;,MIDWEST,PSYCH,2-3/WEEK,LETTUCE (ANY KIND),BROCCOLI,CARROTS,CORN,BELL PEPPERS,BELL PEPPERS,,NONE,BROCCOLI,LETTUCE (ANY KIND),BELL PEPPERS,SAUTEED,BAKED,,BANANAS,MANGOS,GRAPES
109,110,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NONE,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,CAULIFLOWER,LETTUCE (ANY KIND),GREEN BEANS,LETTUCE (ANY KIND),BROCCOLI,CARROTS,ASPARAGUS OR BRUSSEL SPROUTS,,NONE,SAUTEED,GRILLED,LETTUCE IN A SALAD,BLUEBERRIES,APPLES,ORANGES
110,111,50-65,1,"ASIAN;CAUCASIAN, NON-HISPANIC;",HAWAII,HOUSEWIVES,2-3/WEEK,CAULIFLOWER,LETTUCE (ANY KIND),CARROTS,SQUASH,TOMATOES,LETTUCE (ANY KIND),CAULIFLOWER,TOMATO,ZUCCHINI ,CAULIFLOWER,GREEN BEANS,GRILLED,BAKED,STEAMED,BANANAS,OTHER,CHERRIES
111,112,40-49,0,"CAUCASIAN, NON-HISPANIC;",NORTHEAST,THE BOYS,2-3/WEEK,PEAS,CORN,GREEN BEANS,CARROTS,ASPARAGUS,ASPARAGUS,PEAS,CORN,ASPARAGUS ,PEAS,CAULIFLOWER,BAKED,,NONE,MANGOS,PEARS,STRAWBERRIES
112,113,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OZARKS,4-5/WEEK,BROCCOLI,LETTUCE (ANY KIND),CORN,GREEN BEANS,CAULIFLOWER,BROCCOLI,CORN,GREEN BEANS,BROCCOLI,LETTUCE (ANY KIND),ASPARAGUS,BAKED,MICROWAVED,FRIED/AIR-FRIED,WATERMELON,APPLES,STRAWBERRIES
113,114,40-49,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SOUTH PARK,DAILY 6-7 WEEK ,CORN,GREEN BEANS,ASPARAGUS,BRUSSELS SPROUTS,LETTUCE (ANY KIND),CORN,GREEN BEANS,LETTUCE (ANY KIND),CORN,GREEN BEANS,LETTUCE (ANY KIND),SAUTEED,GRILLED,BAKED,APPLES,BLUEBERRIES,GRAPES
114,115,50-65,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,GREY'S ANATOMY,DAILY 6-7 WEEK ,GREEN BEANS,CORN,BROCCOLI,LETTUCE (ANY KIND),SPINACH,GREEN BEANS,CORN,LETTUCE (ANY KIND),CORN,GREEN BEANS,LETTUCE (ANY KIND),SAUTEED,STEAMED,GRILLED,PINEAPPLE,GRAPES,APPLES
115,116,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,BELOW DECK,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,CELERY,LETTUCE (ANY KIND),CELERY AND CUCUMBER ,,LETTUCE (ANY KIND),BROCCOLI,CAULIFLOWER,STEAMED,,NONE,BERRIES,PINEAPPLE,WATERMELON
116,117,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CBS MORNING NEWS,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,GREEN BEANS,LETTUCE (ANY KIND),ASPARAGUS,BROCCOLI,CARROTS,GREEN BEANS,GREEN BEANS,BROCCOLI,ASPARAGUS,STEAMED,,NONE,OTHER,MANGOS,GRAPES
